time,open,high,low,close,Fast MA,Slow MA,GP_Flag,GP_Top,GP_Bot,Long Stop,Long Stop Start,Buy Label,Short Stop,Short Stop Start,Sell Label,Basis,Upper,Lower,Pocket Pivot,WRB Bar,WRB Entry Bar,WRB Prior Bars,True Range,ATR(14),WRB Ratio (TR/ATR),ATR Short Stop Loss,ATR Long Stop Loss,Long Stop Hit,Short Stop Hit,Long Stop Approaching,Short Stop Approaching,ATR% raw (buffer ref),ATR (raw $),Short Stop,Long Stop,MA #1,MA #2,Climax Demand,Climax Supply,Strong Demand,Strong Supply,Demand Candle,Supply Candle,Near Supply Bot,Near Supply Top,Near Demand Top,Near Demand Bot,MACD,Signal Line,Cross,Buy,Sell,StopBuy,StopSell,Distance from Kernel,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,DI+,DI-,ADX,Volume,Anomaly Volume (>= Threshold 1σ),HMA(Volume),ALMA(Volume),SMA(Volume),LSMA(Volume),+1σ above Mean (SMA),+2σ above Mean (SMA),RVOL ratio,Z-score,Volume Delta (Open),Volume Delta (High,Volume Delta (Low),Volume Delta (Close),Aroon Oscillator,Zero Line,Signal Line,Long (Chart),Short (Chart),Mean reversion Up,Mean reversion Down,Long,Short
2025-04-23,331.14,336.69,329.75,331.79,,,1,330.63781,329.59925,328.9895036166863,,,,,,332.1780000000002,353.31679712755044,311.03920287245,0,0,0,0,6.939999999999998,10.273664255542446,0.675513607158809,346.9636642555424,319.4763357444576,0,0,0,0,3.096435774297732,10.273664255542446,346.9636642555424,319.4763357444576,326.3128497626779,299.28845000000035,0,0,0,0,0,1,344.580375,345.43,327.7845,326.93,-0.07874707553247617,0.36056747821527724,,,,,,0.1817047939821306,350.36451162917626,345.42468520914963,340.484858789123,330.6052059490698,320.7255531090166,315.78572668898994,310.8459002689633,0,0,0,0,,,22.66654468870515,26.592285259077407,19.139522358808136,953658,,890180.9135064933,986108.385286385,1496206.55,1512029.5152941176,2130214.1019104477,2767517.822868514,0.6414334340295075,-0.8461466067414707,0,6989,-2948,-132,-4.052888089824526,0,0.28738284833020245,0,0,,,,
2025-04-24,329.27,332.71,326.33,331.52,,,0,320.11327,318.52975,328.9895036166863,,,,,,331.9175000000002,352.9536535219676,310.88134647803275,0,0,0,0,6.3799999999999955,9.995545380146556,0.6382843314054817,342.70554538014653,316.33445461985343,0,0,0,0,3.0150655707488405,9.995545380146556,342.70554538014653,316.33445461985343,326.51705173276895,299.6233500000003,0,0,0,0,1,0,344.580375,345.43,327.7845,326.93,0.03994864917308405,0.2964437124068386,,,,,,0.1813278123651386,350.56420486281655,345.57427959380595,340.5843543247953,330.604503786774,320.6246532487527,315.634727979742,310.6448027107314,0,0,0,0,,,21.633137522854966,27.823842585671233,18.66651030211627,961313,,785266.9714285713,973890.424702679,1476710.35,1469329.9341176471,2117971.3196310704,2765207.2106907116,0.6566194480359298,-0.787073825182056,0,16672,-1162,10896,-4.801461599029945,0,-1.0927748296230955,0,0,,,,
2025-04-25,327.34,327.34,313.575,322.3,,,1,320.11327,318.52975,,,,326.70504535091845,326.70504535091845,326.70504535091845,330.9825000000002,351.98306558761567,309.9819344123847,0,1,1,0,17.944999999999993,10.563363567278945,1.6987960213341886,337.9033635672789,303.01163643272105,0,0,0,0,3.2774941257458714,10.563363567278945,337.9033635672789,303.01163643272105,326.3516771550133,299.9152000000003,0,0,0,0,1,0,335.88425,336.69,320.318325,319.5,-0.6030099556777486,0.11655297878992113,,,,,,0.6152136247502787,350.110797150438,345.06911543791523,340.0274337253925,329.944070300347,319.8607068753015,314.81902516277876,309.777343450256,0,0,0,0,,,19.008116954797725,33.07244910774862,19.26211331982072,2164277,,863446.4869264069,1232548.9821600567,1518390.75,1503858.7200000002,2172505.25106481,2835558.8830820005,1.485868990635715,0.9875903687613063,0,10993,-18407,10993,-5.445127355539331,0,-2.269711831848931,0,0,,,,
2025-04-28,323.83,326.07,322.19,323.81,,,1,320.11327,318.52975,,,,326.65897068299563,,,330.1350000000002,350.8550333011238,309.41496669887664,0,0,0,1,3.8799999999999955,10.085980455330448,0.3846923972522089,336.15598045533045,312.10401954466954,0,0,0,0,3.114783501229254,10.085980455330448,336.15598045533045,312.10401954466954,326.2520035410912,300.1952500000003,0,0,0,0,0,1,335.88425,336.69,320.318325,319.5,-0.9794247035731019,-0.10264255768268346,,,,,,0.4214053039936032,349.7561179901408,344.67012297724,339.58412796433913,329.41213793853746,319.2401479127358,314.1541528998349,309.0681578869341,0,0,0,0,,,18.485811377755475,32.163683412729945,19.815173264831998,1536737,,990108.5064935064,1452213.681590695,1527092.1,1491610.8470588236,2181123.2951541394,2842982.2093558977,1.0311288010817903,0.02639931059732264,0,46271,0,46271,-5.999232513437125,0,-3.275644155644395,0,0,,,,
2025-04-29,321.39,321.39,315.07,317.14,,,0,320.11327,318.52975,,,,326.65897068299563,,,328.73000000000025,348.96772418034186,308.49227581965863,0,0,0,1,8.740000000000009,9.989838994235416,0.8748889751920306,331.3798389942354,305.0801610057646,0,0,0,0,3.149977610593245,9.989838994235416,331.3798389942354,305.0801610057646,325.89467006889157,300.4303500000003,0,0,0,1,0,0,335.88425,336.69,316.539475,315.71,-1.7952547800885554,-0.4411650021638579,,,,,,0.9669886455585581,348.9118160051048,343.7865651241349,338.66131424316495,328.4108124812251,318.16031071928523,313.0350598383153,307.9098089573454,0,0,0,0,,,17.330594765478498,35.24459540756062,20.83359708118064,2753728,2753728,1265982.1539393938,1846870.840546751,1576240.2,1607838.7576470587,2296185.542333238,3006867.7513331426,1.8365623928107597,1.6438073893964935,0,4606,-47663,-17991,-6.476715418603186,0,-4.137127023413606,0,0,,,,
2025-04-30,317.14,321.16,312.17,320.69,,,1,320.11327,318.52975,,,,326.65897068299563,,,327.57150000000024,346.84173432653597,308.3012656734645,0,0,0,1,8.990000000000009,9.918421923218602,0.9063941894783486,331.0784219232186,302.2515780767814,0,0,0,0,3.092837919242447,9.918421923218602,331.0784219232186,302.2515780767814,325.6905653603076,300.6785500000003,0,0,1,0,0,0,335.88425,336.69,319.0527,318.24,-2.13078826134614,-0.7790896540003144,,,,,,0.5772888537663804,348.3425077955663,343.1804189196975,338.0183300438287,327.69415229209113,317.36997454035355,312.20788566448476,307.045796788616,0,0,0,0,,,16.208569737218955,35.05124010422551,21.97113657227115,3032447,3032447,1648126.8970562771,2286704.8973120847,1682674.35,1713677.2,2419871.8441867586,3194160.3074211366,1.953750822586961,1.7911459164125685,0,35296,-20080,35296,-6.888523455404953,0,-4.876173734943226,0,0,,,,
2025-05-01,317.59,319.625,313.41,317.64,,,0,320.11327,318.52975,,,,326.65897068299563,,,326.2500000000002,344.4060821764964,308.09391782350406,0,0,0,1,7.279999999999973,9.729963214417271,0.7482042675364804,329.3549632144173,303.68003678558273,0,0,0,0,3.063204638715927,9.729963214417271,329.3549632144173,303.68003678558273,325.3748569148053,300.9144500000003,0,0,0,0,1,0,335.88425,336.69,316.539475,315.71,-2.6126929744527843,-1.1458103180908084,,,,,,0.8514578826992146,347.5610762485388,342.3669296754232,337.17278310230756,326.78448995607624,316.3961968098449,311.2020502367293,306.00790366361366,0,0,0,0,,,15.342332519501106,33.177991002194986,23.02742324256948,1995881,,1947481.9507359308,2433751.4510700773,1718873.4,1710640.5105882352,2456836.4297449966,3216083.9071090408,1.2429342819720937,0.3928785495009587,0,3687,-31880,-31880,-7.243949401226683,0,-5.511128250763964,0,0,,,,
2025-05-02,330.405,332.435,316.87,331.08,,,0,320.11327,318.52975,327.6998726656331,327.6998726656331,327.6998726656331,,,,325.5840000000002,341.9134328131728,309.25456718682756,0,1,1,1,15.564999999999998,10.146751556244608,1.533988480325099,342.5817515562446,306.7232484437554,0,0,0,0,3.0647431304351236,10.146751556244608,342.5817515562446,306.7232484437554,325.5985880161855,301.23175000000026,0,0,0,0,1,0,335.88425,336.69,319.0527,318.24,-1.8883426160668364,-1.294316777686014,,,,,,0.45003614862446506,347.8178401185514,342.58760540684045,337.35737069512953,326.89690127170763,316.43643184828574,311.2061971365748,305.9759624248639,0,0,0,0,,,22.678928223885265,29.542658430930917,22.321426805548434,1818553,,2148578.6561904764,2317369.439687263,1743687.95,1697481.548235294,2477176.144367719,3230732.2411163906,1.1089801929977874,0.1259799406979183,0,9968,-18237,-18224,-7.5509040289296605,0,-6.05735023274943,0,0,-7.5509040289296605,,,
2025-05-05,330.9,336.93,326.3901,334.86,,,0,320.11327,318.52975,327.6998726656331,,,,,,326.36450000000025,342.89926879184077,309.8297312081597,0,0,0,1,10.539899999999989,10.174833587941421,1.0358793496624084,347.1048335879414,316.2152664120586,0,0,0,0,3.038533592528645,10.174833587941421,347.1048335879414,316.2152664120586,325.96178064300176,301.5468000000003,0,0,0,0,1,0,335.88425,336.69,319.0527,318.24,-0.9977736160087147,-1.2350081453505541,,,,,,0.759089140670829,348.38567281713364,343.1198201119473,337.853967406761,327.3222619963884,316.79055658601584,311.5247038808295,306.2588511756432,0,0,0,0,,,24.156427744035398,27.356756302164392,21.17079916005249,1402856,,2205674.601125541,1999744.2227568794,1668734,1652869.3717647057,2479163.0487643424,3230868.240385828,0.8499339057563032,-0.431820693485788,0,5632,-13755,-13755,-2.7791014617618,0,-5.89812690424159,0,0,,,,
2025-05-06,333.85,339.23,332.634,338.27,,,0,320.11327,318.52975,327.6998726656331,,,,,,327.73500000000024,343.4243524404192,312.04564755958125,0,0,0,1,6.596000000000004,9.919202617374177,0.6649728062260416,349.1492026173742,322.7147973826258,0,0,0,0,2.932332934453004,9.919202617374177,349.1492026173742,322.7147973826258,326.4444559119037,301.88550000000026,0,0,0,0,1,0,344.580375,345.43,319.0527,318.24,-0.01664093942741829,-0.991334704165927,,,,,,1.0334932950665228,349.2179933324477,343.92047372727257,338.62295412209744,328.02791491174713,317.4328757013968,312.1353560962217,306.8378364910466,0,0,0,0,,,24.66528346939791,26.05736351591495,19.85463451186962,1402650,,2163734.8216450214,1703524.6741214574,1568658.5,1627705.0823529414,2362676.228086575,3069289.1228398164,0.8722348009362624,-0.35863106265818784,0,5321,-17924,-17924,1.1990175127950393,0,-5.148067015263466,0,0,,,0,
