time,open,high,low,close,LC Exit Long (guide),LC Exit Short (guide),Active ATR Stop,Lifetime Sortino,Lifetime PF,Rolling Sortino,Rolling PF,Sortino ADX<band,Sortino ADX>=band,Sortino IS,Sortino OOS,Per-Bar Sortino,Fast MA,Slow MA,GP_Flag,GP_Top,GP_Bot,Long Stop,Long Stop Start,Buy Label,Short Stop,Short Stop Start,Sell Label,Basis,Upper,Lower,Pocket Pivot,WRB Bar,WRB Entry Bar,WRB Prior Bars,True Range,ATR(14),WRB Ratio (TR/ATR),ATR Short Stop Loss,ATR Long Stop Loss,Long Stop Hit,Short Stop Hit,Long Stop Approaching,Short Stop Approaching,ATR% raw (buffer ref),ATR (raw $),Short Stop,Long Stop,MA #1,MA #2,MACD,Signal Line,Cross,Buy,Sell,StopBuy,StopSell,Distance from Kernel,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,DI+,DI-,ADX,Volume,Anomaly Volume (>= Threshold 1σ),HMA(Volume),ALMA(Volume),SMA(Volume),LSMA(Volume),+1σ above Mean (SMA),+2σ above Mean (SMA),RVOL ratio,Z-score,Volume Delta (Open),Volume Delta (High,Volume Delta (Low),Volume Delta (Close),Aroon Oscillator,Zero Line,Signal Line,Long (Chart),Short (Chart),Mean reversion Up,Mean reversion Down,Long,Short
2025-04-23,62.07,62.68,61.12,61.26,0,0,,-0.8466108371313442,0.02635348842965954,,,,,-0.8466108371313442,,-0.059762520674684065,,,0,64.6957218,64.57796499999999,59.017364596908735,,,,,,61.673500000000004,67.3648347292195,55.98216527078051,0,0,0,0,2.009999999999998,1.9550902687275145,1.0280855222650267,64.63509026872751,59.16490973127248,0,0,0,0,3.191463057015205,1.9550902687275145,64.63509026872751,59.16490973127248,63.97272944944356,66.0808,-1.3939275657282693,-1.5873824422428162,,,,,,0.3580801458878397,64.14812914998797,63.415003845632235,62.681878541276504,61.215627932565035,59.749377323853565,59.016252019497834,58.2831267151421,0,0,0,0,,,19.26509574376906,26.62771245514629,36.11348112978725,501348,,2232243.2476190478,1470571.632349806,1370407.2,1655185.4752941176,2413980.2625644105,3490330.7632240597,0.3862168477908208,-0.7769604430826583,0,570,-14925,-14925,-37.48557330794831,0,-36.94443718699782,0,0,,,,
2025-04-24,61.41,62.47,61.17,62.4,0,0,,-0.8466108371313442,0.02635348842965954,,,,,-0.8466108371313442,,-0.05972927309454491,,,0,59.9865618,59.624965,59.537552839986674,,,,,,61.4775,66.77138279054438,56.18361720945562,0,0,0,0,1.2999999999999972,1.9082981066755489,0.6812352826072497,64.37829810667554,59.26170189332445,0,0,0,0,3.058170042749277,1.9082981066755489,64.37829810667554,59.26170189332445,63.9110537847595,66.07834999999999,-1.1628972208196515,-1.5024853979581834,,,62.47,,,0.9439041961330733,64.20807247751749,63.46460323131731,62.72113398511713,61.234195492716765,59.7472570003164,59.00378775411622,58.26031850791604,0,0,0,0,,,18.327662676378896,25.332016939462992,34.679880547574584,1074892,,1908324.4064935062,1020880.2789086489,1388499.7,1636462.6070588233,2424512.7953563742,3492690.543093701,0.9089003219211523,-0.26347960179400465,0,10286,-724,1977,-37.572774529249045,0,-37.12014498495334,0,0,-37.572774529249045,,,
2025-04-25,62.19,62.32,61.81,62.28,0,0,64.9112009342981,-0.8466108371313442,0.02635348842965954,,,,,-0.8466108371313442,,-0.060691205389648825,,,0,59.9865618,59.624965,59.67879906570191,,,,,,61.2925,66.18766036509763,56.39733963490237,0,0,0,0,0.5899999999999963,1.8141339561987238,0.32522405414662037,64.13413395619872,59.99586604380128,0,0,0,0,2.912867623954277,1.8141339561987238,64.13413395619872,59.99586604380128,63.847090891239525,66.07575,-0.9782107999274885,-1.3976304783520443,,,,,,0.9031993824149019,64.27018967380074,63.51786955259648,62.76554943139221,61.26090918898367,59.756268946575126,59.003948825370856,58.251628704166585,0,0,0,0,,,17.901905765047207,24.743546850265634,33.348680006948534,279623,,1545687.8211255409,744515.2165890507,1372703.5,1554629.5388235294,2420166.8483328368,3504637.649046626,0.24920698065569613,-0.9738141837695856,0,5206,-450,5206,-36.92719551266752,0,-37.176539939405885,0,0,,,,
2025-04-28,62.44,62.78,61.9723,62.54,0,0,64.9112009342981,-0.8466108371313442,0.02635348842965954,,,,,-0.8466108371313442,,-0.06336330277374412,,,0,59.9865618,59.624965,59.92663127529463,,,,,,61.18549999999999,65.86877011820023,56.50222988179974,0,0,0,0,0.8077000000000041,1.7422458164702437,0.4635970380094748,64.52224581647025,60.23005418352975,0,0,0,0,2.7858103877042595,1.7422458164702437,64.52224581647025,60.23005418352975,63.795832424916405,66.0719,-0.8016250194572407,-1.2784293865730836,,,,,,1.0497057160220673,64.36036196755211,63.600368039005254,62.8403741104584,61.32038625336469,59.80039839627098,59.04040446772412,58.28041053917727,0,0,0,0,,,19.1950081347179,23.924187205291933,31.750037763405565,385210,,1202242.9548051949,587595.4265837327,1366147.75,1484709.0776470588,2417884.2290758807,3510088.458151761,0.3471629433786711,-0.8610752228964874,0,5431,-1695,4556,-33.51080553744583,0,-36.77414741843251,0,0,,,,
2025-04-29,62.15,62.9301,62.1101,62.8,0,0,64.9112009342981,-0.8466108371313442,0.02635348842965954,,,,,-0.8466108371313442,,-0.06601245808427263,,,0,59.9865618,59.624965,60.2854433270593,,,,,,61.06499999999998,65.44186417427245,56.68813582572751,0,0,0,0,0.8200000000000003,1.6763711152937977,0.48915183071278856,64.6064711152938,60.433728884706206,0,0,0,0,2.6693807568372576,1.6763711152937977,64.6064711152938,60.433728884706206,63.7567801729589,66.06715,-0.6333982681548349,-1.1494231628894338,,,,,,1.1335491152391655,64.47574505986027,63.70919080315328,62.94263654644629,61.40952803303231,59.87641951961833,59.10986526291134,58.343311006204345,0,0,0,0,,,19.163907508924424,23.088290064593078,30.14560623172042,448159,,880742.8093506492,485773.7956972026,1357717,1418139.2070588237,2417137.2205082974,3511840.441016595,0.40577638679659217,-0.7986411144328713,0,2495,-24014,-22536,-30.655941108687816,0,-35.98865715244739,0,0,,,,
2025-04-30,62.05,62.72,61.24,62.5,0,0,64.9112009342981,-0.8466108371313442,0.02635348842965954,,,,,-0.8466108371313442,,-0.06259696878798073,,,0,59.9865618,59.624965,60.29791166084078,,,,,,60.918499999999995,64.87732444672966,56.95967555327033,0,0,0,0,1.5599999999999952,1.668058892772812,0.9352187784010487,64.3880588927728,59.57194110722719,0,0,0,0,2.668894228436499,1.668058892772812,64.3880588927728,59.57194110722719,63.707494675980115,66.05929999999998,-0.5183100924261126,-1.0232005487967695,,,,,,0.8174249143376306,64.57452756852467,63.801859415891315,63.02919126325795,61.48385495799123,59.938518652724504,59.16585050009114,58.39318234745778,0,0,0,0,,,17.883732782503927,25.271848952804348,29.215186020443216,406397,,564010.936103896,432134.0725232223,1345016.65,1346189.0494117648,2414469.0703650787,3516522.09311111,0.369742200260732,-0.8221192891077803,0,1181,-5388,-4583,-28.25946365137144,0,-34.88179542326972,0,0,,,,
2025-05-01,62.69,63.24,62.5,62.71,0,0,64.9112009342981,-0.8466108371313442,0.02635348842965954,,,,,-0.8466108371313442,,-0.06476283979607862,,,0,59.9865618,59.624965,60.39734654220929,,,,,,60.75699999999999,64.09867083956915,57.41532916043083,0,0,0,0,0.740000000000002,1.6017689718604682,0.4619892212923102,64.84176897186047,60.898231028139534,0,0,0,0,2.554248081423167,1.6017689718604682,64.84176897186047,60.898231028139534,63.66837723770639,66.05004999999998,-0.40548248930615927,-0.8996569368986475,,,,,,0.830022709787493,64.68915320098279,63.9114404398467,63.133727678710606,61.57830215643842,60.02287663416623,59.24516387303014,58.46745111189405,0,0,0,0,,,19.612448186802045,24.43789739435271,27.910843862054683,463755,,301606.3437229437,428607.7228167361,1335788.05,1282315.4988235293,2411422.612168614,3519793.414813418,0.4227500489822628,-0.7572346795143575,0,8983,0,7479,-26.239524667720335,0,-33.504219253147,0,0,,,,
2025-05-02,63.44,64.02,63.25,63.9,0,0,64.9112009342981,-0.8466108371313442,0.02635348842965954,,,,,-0.8466108371313442,,-0.07245317813563815,,,0,59.9865618,59.624965,61.52860750348006,,,,,,60.854499999999994,64.43497189627637,57.27402810372362,0,0,0,0,1.3099999999999952,1.5809283310132916,0.8286270631638022,65.6009283310133,61.66907166898671,0,0,0,0,2.4740662457172014,1.5809283310132916,65.6009283310133,61.66907166898671,63.67746048328653,66.04149999999998,-0.21753513655626477,-0.7632325768301709,,,,,,1.3718832589942995,64.88927385284522,64.10748440511279,63.32569495738036,61.76211606191549,60.19853716645063,59.4167477187182,58.63495827098577,0,0,0,0,,,21.975783515489336,22.991475740939798,26.078550531084804,607928,,120427.1853679653,472813.2679194446,1319482.15,1231109.837647059,2410668.0075331284,3520207.9674472096,0.5607535255404287,-0.6247634809590153,0,8285,-1010,393,-9.41960574452853,0,-30.008860507452354,0,0,,,,
2025-05-05,63.46,63.89,63.29,63.53,0,0,64.9112009342981,-0.8466108371313442,0.02635348842965954,,,,,-0.8466108371313442,,-0.0685619289232437,,,0,59.9865618,59.624965,61.63263553894577,,,,,,61.115999999999985,64.67588988594184,57.55611011405812,0,0,0,0,0.6099999999999994,1.5115763073694848,0.40355223684443015,65.40157630736948,61.77842369263051,0,0,0,0,2.379311045757099,1.5115763073694848,65.40157630736948,61.77842369263051,63.67167771923608,66.03405,-0.09731957372878242,-0.6300499762098932,,,,,,1.061979393583895,65.05714758411159,64.27232986812946,63.487512152147325,61.91787672018306,60.348241288218794,59.56342357223666,58.77860585625452,0,0,0,0,,,21.34232804448329,22.328742779253314,24.3771352951842,287261,,18922.733679653633,457731.07932376,1229232,1149334.52,2398452.235814756,3526575.7097247504,0.2639699299911471,-0.8714185855006814,0,2249,-55,821,4.652925534080104,0,-24.741548152198803,0,0,,,0,
2025-05-06,63.1,63.57,62.9243,63.14,0,0,64.9112009342981,-0.8466108371313442,0.02635348842965954,,,,,-0.8466108371313442,,-0.06446708236129485,,,0,59.9865618,59.624965,61.72540800044965,,,,,,61.37249999999999,64.73397512262542,58.011024877374545,0,0,0,0,0.6456999999999979,1.449727999700236,0.445393894670939,65.01972799970024,61.474572000299766,0,0,0,0,2.296053214602844,1.449727999700236,65.01972799970024,61.474572000299766,63.65082761259937,66.02709999999998,-0.03313564759638865,-0.5106671104871923,,,,,,0.6991358272190814,65.18944198721243,64.40252205689652,63.61560212658058,62.04176226594874,60.4679224053169,59.68100247500097,58.89408254468505,0,0,0,0,,,20.663346429549204,23.420195342966565,23.082603629342323,385009,,-9857.829437229444,427842.32471326157,1171249.85,1082706.6070588236,2316508.7345982464,3443986.5644345884,0.3544147166488359,-0.7131154897108816,0,6468,-171,4983,16.47898266422535,0,-17.985078503014503,0,0,,,,
