time,open,high,low,close,LC Exit Long (guide),LC Exit Short (guide),Active ATR Stop,Lifetime Sortino,Lifetime PF,Rolling Sortino,Rolling PF,Sortino ADX<band,Sortino ADX>=band,Sortino IS,Sortino OOS,Per-Bar Sortino,Fast MA,Slow MA,GP_Flag,GP_Top,GP_Bot,Long Stop,Long Stop Start,Buy Label,Short Stop,Short Stop Start,Sell Label,Basis,Upper,Lower,Pocket Pivot,WRB Bar,WRB Entry Bar,WRB Prior Bars,True Range,ATR(14),WRB Ratio (TR/ATR),ATR Short Stop Loss,ATR Long Stop Loss,Long Stop Hit,Short Stop Hit,Long Stop Approaching,Short Stop Approaching,ATR% raw (buffer ref),ATR (raw $),Short Stop,Long Stop,MA #1,MA #2,MACD,Signal Line,Cross,Buy,Sell,StopBuy,StopSell,Distance from Kernel,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,DI+,DI-,ADX,Volume,Anomaly Volume (>= Threshold 1σ),HMA(Volume),ALMA(Volume),SMA(Volume),LSMA(Volume),+1σ above Mean (SMA),+2σ above Mean (SMA),RVOL ratio,Z-score,Volume Delta (Open),Volume Delta (High,Volume Delta (Low),Volume Delta (Close),Aroon Oscillator,Zero Line,Signal Line,Long (Chart),Short (Chart),Mean reversion Up,Mean reversion Down,Long,Short
2025-04-23,7.31,7.6,7.05,7.06,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.04611318713558399,,,0,9.0945,8.942499999999999,,,,7.642174940358051,,,7.8169999999999975,10.164603884815328,5.469396115184667,0,0,0,0,0.6799999999999997,0.6881166269053668,0.9882045766836509,8.288116626905367,6.361883373094633,0,0,0,0,9.746694432087349,0.6881166269053668,8.288116626905367,6.361883373094633,8.369403970671483,9.208475000000004,-0.5541521433902918,-0.5118822682383586,,,,,,0.22262638712626528,9.864304920081674,9.279051678626953,8.693798437172232,7.523291954262789,6.3527854713533465,5.767532229898626,5.182278988443905,0,0,0,0,,,21.06685625287605,23.334867363947463,20.862221538705537,1175193,,624679.0996536796,849863.6850209085,1103682.1,1331461.8188235294,1506830.3643688182,1904611.2049281127,0.8379659695277193,0.16628120172272767,0,18705,-7219,-7219,-43.02647234449456,0,-34.34361286447184,0,0,,,,
2025-04-24,7.06,7.74,7.06,7.72,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.04609281461984013,,,0,9.0945,8.942499999999999,7.057825059641949,7.057825059641949,7.057825059641949,,,,7.671999999999997,9.63609368412,5.7079063158799945,0,0,0,0,0.6800000000000006,0.6875368678406978,0.9890378709953872,8.427536867840699,6.372463132159302,0,0,0,0,8.90591797721111,0.6875368678406978,8.427536867840699,6.372463132159302,8.34393714829221,9.194725000000004,-0.47413186508360905,-0.5043321876074087,,,,,,0.7520948780984243,9.833330335193445,9.250330390036469,8.667330444879493,7.501330554565543,6.335330664251593,5.752330719094617,5.169330773937642,0,0,0,0,,,21.033043806157185,21.686362539833297,19.481300386224714,1137004,,669724.431948052,990391.8433555324,1104490.35,1318318.28,1502388.1947652479,1899507.532387639,0.8021496311629732,0.07991336570801538,0,33237,-570,17894,-43.55137255866921,0,-37.16765714071639,0,0,,,,
2025-04-25,7.72,8.1092,7.6227,7.98,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.046072469081607746,,,0,9.0945,8.942499999999999,7.057825059641949,,,,,,7.571999999999997,9.236711386397069,5.907288613602926,0,0,0,0,0.4864999999999995,0.6731770915663622,0.7226924476410826,8.782377091566362,6.949522908433638,0,0,0,0,8.435803152460679,0.6731770915663622,8.782377091566362,6.949522908433638,8.329665103261142,9.176675000000003,-0.3852939619648845,-0.48052454247890386,,,,,,1.1170019419688746,9.829133926475734,9.248550301411154,8.667966676346571,7.506799426217409,6.345632176088246,5.765048551023665,5.184464925959084,0,0,0,0,,,23.86475719741862,20.566893223808723,18.6199453996151,875960,,720506.7206926408,1026939.3864142828,1080127.35,1282338.9035294119,1493683.1683154034,1893758.3842498544,0.627567730140049,-0.54401758397504,0,21892,-10100,4098,-43.31002753291472,0,-39.318226148530584,0,0,,,,
2025-04-28,8,8.38,7.56,7.74,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.04605215046139945,,,0,8.51358,8.3315,7.057825059641949,,,,,,7.4819999999999975,8.885532685761195,6.078467314238799,0,0,0,0,0.8200000000000012,0.6836644421687649,1.1994188221911084,9.063664442168765,6.876335557831235,0,0,0,0,8.832873929829004,0.6836644421687649,9.063664442168765,6.876335557831235,8.306540981564627,9.154975000000002,-0.33044610098052907,-0.4505088541792289,,,,,,0.7377193488404914,9.815148395386325,9.236814977104544,8.658481558822764,7.501814722259203,6.345147885695642,5.7668144674138615,5.188481049132081,0,0,0,0,,,24.64948836029837,18.804870449049375,18.250664678686576,1317766,,813256.3721212121,1086304.1229495846,1083356.9,1269558.5882352942,1490174.8893411164,1888906.3024917564,0.9496521935816519,0.5676064547340279,0,29906,-359,9135,-42.42096007516437,0,-40.81086037869204,0,0,-42.42096007516437,,,
2025-04-29,7.69,7.82,7.52,7.72,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.046031858699911395,,,0,8.51358,8.3315,7.057825059641949,,,,,,7.418999999999999,8.65048528208825,6.187514717911747,0,0,0,0,0.3000000000000007,0.6562598391567104,0.45713600330244003,8.476259839156711,6.863740160843289,0,0,0,0,8.500775118610239,0.6562598391567104,8.476259839156711,6.863740160843289,8.283539374444446,9.128775000000005,-0.28530380418674106,-0.41746784418073135,,,,,,0.6938516508285371,9.804568314894574,9.228779277459918,8.652990240025263,7.501412165155952,6.349834090286641,5.774045052851985,5.19825601541733,0,0,0,0,,,23.844619175121455,18.6262106912637,17.8246915932805,718084,,861396.832121212,1028878.3619953023,1068485.05,1213498.4541176471,1470598.4350303398,1875233.917679727,0.5122226786668731,-0.8597341738376072,0,24930,-2401,24930,-40.98252814537561,0,-41.65766589182529,0,0,,,,
2025-04-30,7.3,7.46,7.05,7.43,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.04601159373802244,,,0,8.51358,8.3315,7.057825059641949,,,,,,7.353499999999997,8.426072142095846,6.280927857904149,0,0,0,0,0.6699999999999999,0.6572412792169454,1.019412537201339,8.117241279216945,6.392758720783054,0,0,0,0,8.845777647603573,0.6572412792169454,8.117241279216945,6.392758720783054,8.25006724211329,9.096975000000004,-0.26981848556839694,-0.38793797245826445,,,,,,0.21338580693759826,9.776923778458256,9.203849641822202,8.630775505186147,7.484627231914037,6.338478958641928,5.765404822005873,5.192330685369818,0,0,0,0,,,22.10836890855644,22.377870407679506,16.59477138517936,845942,,891573.7066666667,955807.4706045708,1067357.75,1161402.7411764706,1465133.0253399205,1872378.2887750794,0.6091770680140981,-0.520437635337919,0,5236,-23327,5236,-38.35719993086158,0,-41.778188449732696,0,0,,,,
2025-05-01,7.68,7.77,7.5,7.58,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.045991355516793515,,,0,8.51358,8.3315,7.057825059641949,,,,,,7.286499999999998,8.093922442095844,6.479077557904153,0,0,0,0,0.33999999999999986,0.6345811878443064,0.5357864470502053,8.404581187844306,6.865418812155694,0,0,0,0,8.371783480795598,0.6345811878443064,8.404581187844306,6.865418812155694,8.22379009536375,9.054775000000005,-0.24264544692931356,-0.3588794673524743,,,,,,0.4079220266802267,9.763226924495822,9.193146675839722,8.623066427183623,7.482905929871422,6.342745432559222,5.772665183903122,5.202584935247022,0,0,0,0,,,24.751636965946254,21.52145900208804,15.90805075845941,720851,,892406.3903896104,860196.0379152399,1068390.25,1106467.04,1462561.573856385,1874265.7191413413,0.5173730200350632,-0.8015620740058822,0,3901,-12776,-12776,-36.171407292434,0,-41.28468444588949,0,0,,,,
2025-05-02,7.72,8.79,7.715,8.33,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.04597114397746685,,,0,8.51358,8.3315,7.316476202645431,,,,,,7.298499999999997,8.158738920300687,6.438261079699308,1,1,1,0,1.209999999999999,0.675682531569713,1.790781829432508,9.465682531569712,7.039317468430287,0,0,0,0,8.111434952817683,0.675682531569713,9.465682531569712,7.039317468430287,8.227955189663211,9.014475000000004,-0.15876177908468314,-0.3188559296989161,,,,,,1.329308545773904,9.8095221378436,9.241954800084166,8.67438746232473,7.53925278680586,6.404118111286989,5.836550773527554,5.268983435768118,0,0,0,0,,,32.36832886158089,18.76858487895833,16.6713877616879,1548259,1548259,958564.882943723,970286.685785677,1088577.7,1122940.715294118,1508129.1047692914,1925017.0666814398,1.1104845557653662,1.096260623709651,0,70758,0,35236,-19.231569891729876,0,-38.38144222145551,0,0,,,,
2025-05-05,8.14,8.2399,7.8986,7.97,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.04595095906146524,,,0,8.51358,8.3315,7.3426493310279,,,,,,7.336999999999996,8.24382082022864,6.430179179771352,0,0,0,1,0.4314,0.6582337793147336,0.6553902482019639,8.898133779314733,7.240366220685266,0,0,0,0,8.258893090523634,0.6582337793147336,8.898133779314733,7.240366220685266,8.217839299872496,8.978625000000005,-0.11994965437353766,-0.2790746746338404,,,,,,0.7276874959359396,9.830660532595232,9.265790560071206,8.700920587547182,7.571180642499132,6.441440697451082,5.876570724927057,5.311700752403032,0,0,0,0,,,30.853051212547015,17.889960057371177,17.380200693257212,790030,,991852.224155844,1011117.4336856566,1033904.05,1096875.8847058825,1495901.0628767326,1917440.9828963224,0.5691586511999714,-0.6745058518868855,0,1097,-26811,-26811,-5.072578260803933,0,-33.63720546099418,0,0,,,,
2025-05-06,7.75,8.15,7.65,8.01,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.04593080071039143,,,0,8.51358,8.3315,7.359602950240193,,,,,,7.365999999999997,8.318793786713618,6.413206213286376,0,0,0,1,0.5,0.6469313665065384,0.7728795137883404,8.796931366506538,7.003068633493462,0,0,0,0,8.076546398333813,0.6469313665065384,8.796931366506538,7.003068633493462,8.209688739093183,8.947125000000005,-0.08498346373804111,-0.24025643245468054,,,,,,0.6990953177850138,9.855703122666963,9.293555117050113,8.731407111433263,7.607111100199564,6.4828150889658644,5.920667083349015,5.358519077732165,0,0,0,0,,,29.149787553972722,19.64715904270849,17.529744778028313,739072,,986000.9552380951,971331.5390005887,981866.4,1071962.8870588234,1405743.4203787632,1791622.412186098,0.6428145867876056,-0.7276696439375615,0,15667,-20333,-20333,6.815600578452296,0,-27.341333818853993,0,0,,,0,
2025-05-07,8.12,8.43,8.08,8.26,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.04591066886602725,,,0,8.51358,8.3315,7.383917025223036,,,,,,7.4484999999999975,8.410857002364562,6.486142997635432,0,0,0,1,0.41999999999999993,0.6307219831846428,0.6659035378461601,9.060721983184642,7.449278016815358,0,0,0,0,7.635859360588896,0.6307219831846428,9.060721983184642,7.449278016815358,8.21166172971698,8.918225000000003,-0.03667680767048154,-0.19954050749784075,,,,,,0.9786246019028408,9.89857548263397,9.339300953784885,8.780026424935803,7.661477367237639,6.542928309539474,5.983653780690391,5.424379251841309,0,0,0,0,,,30.93426059183626,18.712650991625218,18.035981520259167,1071847,,986151.3284848485,945853.728886183,945367.6,1055023.1364705884,1333127.8199491852,1680104.4494221797,1.0053904248155772,0.24697862116525982,0,5088,-11114,-4372,16.83786092916266,0,-19.82284776109432,0,0,,,,
2025-05-08,8.63,8.94,8.37,8.65,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.04589056347033306,,,1,8.51358,8.3315,7.698637237707105,,,,,,7.510499999999998,8.605570317376943,6.415429682623053,1,0,0,1,0.6799999999999997,0.6342418415285968,1.0721462310987249,9.574241841528597,7.735758158471403,0,0,0,0,7.332275624608055,0.6342418415285968,9.574241841528597,7.735758158471403,8.22885146580651,8.890625000000004,0.032699367968438864,-0.1530925324045848,,,,,,1.4094664656742315,9.969673510194745,9.413210673522157,8.856747836849568,7.7438221635043885,6.630896490159209,6.07443365348662,5.517970816814031,0,0,0,0,,,34.30889747948206,17.279601117729733,19.105544988616867,1648282,1648282,1049659.3255411256,1090202.5830135494,941544.1,1073824.242352941,1309799.5382114681,1640759.3621372217,1.5531047877100328,2.0227297614965667,0,13338,-19690,5537,28.19618626187883,0,-10.995704468963918,0,0,,,,
2025-05-09,9.4,11.23,9.22,10.62,0,0,,0.2631480375204628,1.3920849641366657,,,,,,,0.04587048446544697,,,0,8.51358,8.3315,9.460163149299454,,,,,,7.686499999999997,9.411426375240442,5.961573624759553,1,1,1,1,2.58,0.773224567133697,3.3366761865364998,12.003224567133698,8.446775432866303,0,0,0,0,7.280833965477374,0.773224567133697,12.003224567133698,8.446775432866303,8.322621996559196,8.870225000000003,0.24383227631268234,-0.07370757066113137,,9.22,,,,3.3469746882053704,10.189025415425263,9.633986440158454,9.078947464891645,7.968869514358026,6.858791563824408,6.3037525885575985,5.748713613290789,1,1,0,0,,,47.28637337109599,13.161284434702711,21.773288017313142,4277490,4277490,1456213.343982684,1893073.9078217158,1104838.65,1295402.6188235295,1866173.1864641588,2631947.7062616507,3.9648117308648922,4.148860077211123,0,117349,0,110283,33.48128503058804,0,-1.6877278219684655,0,0,,,,
